Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201811   ,1.04   ,1.13  ,-0.90   ,1.51   ,3.89  ,-0.28
201812 ,-12.76 ,-10.68 ,-11.28  ,-9.68  ,-9.11  ,-8.68
201901  ,15.22   ,9.32  ,10.08  ,13.00   ,7.17   ,7.78
201902   ,4.56   ,5.47   ,4.95   ,2.54   ,3.50   ,3.62
201903  ,-3.21  ,-2.35  ,-1.22  ,-0.72   ,2.46   ,1.41
201904   ,3.85   ,3.15   ,1.55   ,4.80   ,4.72   ,2.92
201905 ,-11.43  ,-7.45  ,-4.83 ,-10.70  ,-6.31  ,-3.53
201906   ,7.84   ,7.13   ,6.56   ,8.96   ,6.76   ,6.45
201907  ,-0.86   ,1.74   ,1.72   ,0.66   ,2.02   ,1.10
201908  ,-7.90  ,-2.54  ,-3.23  ,-5.88  ,-1.73   ,0.79
201909   ,5.05   ,2.28  ,-3.38   ,3.24   ,2.88  ,-1.37
201910   ,0.41   ,3.19   ,2.15   ,3.66   ,2.54   ,0.22
201911   ,4.30   ,3.21   ,4.75   ,5.86   ,3.48   ,2.92
201912   ,5.57   ,2.63   ,3.15   ,2.95   ,2.54   ,3.09
202001  ,-6.13  ,-2.66  ,-1.42  ,-3.17   ,0.31   ,3.25
202002 ,-10.03  ,-8.83  ,-7.09  ,-7.75  ,-8.64  ,-7.23
202003 ,-26.88 ,-23.71 ,-20.74 ,-18.71 ,-11.89 ,-10.96
202004  ,20.12  ,13.39  ,18.61  ,12.65  ,12.96  ,12.95
202005   ,5.83   ,5.79   ,9.15   ,5.07   ,5.65   ,5.23
202006   ,4.39   ,2.43   ,5.05   ,1.01  ,-0.56   ,5.15
202007   ,1.83   ,4.74   ,5.71   ,1.60   ,6.23   ,7.55
202008   ,6.53   ,5.42   ,4.75   ,4.97   ,5.43  ,10.44
202009  ,-5.98  ,-2.52  ,-1.72  ,-3.38  ,-2.04  ,-5.41
202010   ,4.13   ,2.00   ,0.52  ,-0.65  ,-3.20  ,-2.76
202011  ,21.76  ,14.83  ,16.29  ,18.24  ,11.44   ,9.55
202012   ,8.80   ,7.95   ,9.20   ,5.64   ,3.24   ,4.30
202101   ,3.42   ,3.02  ,10.96  ,-0.84  ,-2.67   ,0.98
202102  ,11.58   ,7.70   ,4.75   ,7.73   ,2.91  ,-1.08
202103   ,4.52   ,4.00  ,-1.58   ,6.47   ,5.32  ,-1.35
202104   ,0.99   ,3.02   ,2.86   ,3.86   ,6.37   ,4.80
202105   ,0.46   ,1.89   ,2.17   ,0.09   ,1.04   ,0.68
202106   ,1.06  ,-0.26   ,2.46   ,1.02   ,3.32   ,2.53
202107  ,-2.77  ,-1.38  ,-4.61   ,2.43   ,2.51  ,-0.79
202108   ,0.35   ,1.51   ,2.42   ,1.44   ,3.34   ,4.02
202109  ,-3.33  ,-1.85  ,-1.84  ,-5.08  ,-4.07  ,-4.19
202110   ,2.12   ,3.53   ,5.02   ,4.42   ,6.44  ,11.24
202111  ,-6.46  ,-4.24  ,-4.51  ,-2.92  ,-0.40  ,-1.64
202112   ,1.62   ,3.72   ,1.61   ,4.57   ,5.43   ,0.32
202201  ,-8.99  ,-5.75  ,-8.04  ,-2.60  ,-5.47  ,-7.44
202202   ,0.10   ,1.24   ,2.04  ,-2.23  ,-3.57  ,-1.37
202203   ,1.85   ,0.91   ,3.52   ,0.70   ,3.26   ,4.79
202204 ,-12.38  ,-7.21  ,-7.03 ,-11.00  ,-7.27 ,-10.08
202205  ,-1.94   ,0.89   ,2.11   ,0.45  ,-0.59  ,-0.01
202206  ,-9.82  ,-6.82 ,-11.54 ,-11.30  ,-7.45  ,-7.76
202207  ,10.72   ,8.82   ,8.52  ,12.72   ,9.69   ,6.55
202208  ,-2.96  ,-2.85   ,0.08  ,-4.42  ,-4.59  ,-1.70
202209 ,-11.45  ,-8.86  ,-8.73 ,-11.86  ,-8.49  ,-7.62
202210   ,7.68  ,10.60  ,12.34   ,4.75   ,7.20  ,11.63
202211   ,3.75   ,4.63   ,1.84   ,6.67   ,5.27   ,3.83
202212  ,-7.18  ,-4.53  ,-5.04  ,-9.15  ,-5.37  ,-3.32
202301  ,17.56   ,8.69   ,5.21  ,13.78   ,5.32   ,0.69
202302  ,-4.48  ,-0.77  ,-1.01  ,-0.97  ,-2.83  ,-3.72
202303  ,-4.77  ,-3.16  ,-3.24   ,6.62   ,1.23   ,1.02
202304  ,-2.51  ,-1.05  ,-0.66   ,0.92   ,1.13   ,2.29
202305  ,-1.55  ,-2.59  ,-0.03   ,1.72  ,-0.67   ,2.05
202306   ,9.31   ,7.08   ,7.27   ,8.02   ,5.41   ,7.94
202307   ,8.22   ,4.01   ,4.03   ,4.61   ,3.83   ,2.23
202308  ,-6.41  ,-3.59  ,-3.71  ,-4.36  ,-0.88  ,-1.14
202309  ,-6.61  ,-4.21  ,-6.37  ,-3.70  ,-4.37  ,-5.28
202310  ,-7.61  ,-5.30  ,-6.94  ,-4.06  ,-2.10  ,-1.83
202311   ,8.62   ,9.30  ,10.22   ,7.11   ,8.12  ,11.44
202312  ,14.28   ,8.58   ,9.60   ,7.68   ,4.45   ,3.67
202401  ,-4.79  ,-3.24  ,-1.50  ,-1.13   ,1.49   ,2.84
202402   ,1.59   ,3.72   ,7.98   ,2.04   ,3.35   ,8.04
202403   ,3.74   ,3.43   ,3.69   ,4.27   ,2.17   ,3.72
202404  ,-6.53  ,-5.08  ,-6.49  ,-2.13  ,-3.55  ,-5.40
202405   ,4.30   ,3.80   ,4.45   ,4.10   ,3.52   ,6.84
202406  ,-1.86  ,-0.95  ,-1.72   ,2.78   ,2.02   ,5.50
202407   ,7.65   ,8.49   ,7.10   ,4.85   ,2.70  ,-2.35
202408  ,-2.43  ,-0.48   ,1.77   ,1.12   ,3.13   ,2.37
202409   ,1.29   ,1.21   ,1.90   ,2.63   ,1.80   ,2.48
202410  ,-1.64  ,-0.30  ,-0.32  ,-2.14  ,-1.56   ,1.45
202411   ,9.01   ,8.91  ,10.44   ,5.76   ,6.56   ,7.15
202412  ,-5.75  ,-6.39  ,-8.58  ,-3.57  ,-1.99  ,-2.79
202501   ,2.38   ,3.39   ,3.28   ,3.45   ,2.56   ,4.05
202502  ,-6.22  ,-2.89  ,-5.19  ,-0.48   ,1.53  ,-4.60
202503  ,-5.88  ,-4.44  ,-6.88  ,-3.08  ,-3.50  ,-9.54
202504  ,-3.93  ,-0.43   ,0.59  ,-1.95  ,-0.68   ,1.32
202505   ,5.91   ,5.03   ,7.35   ,7.99   ,6.54   ,5.53
202506   ,5.72   ,3.74   ,5.03   ,6.50   ,6.27   ,2.51
202507   ,2.61   ,1.43   ,0.39   ,1.46   ,3.63   ,0.74
202508   ,6.70   ,5.48   ,5.12   ,5.63   ,1.69   ,0.21
202509  ,-0.38   ,0.31   ,7.90   ,2.31   ,2.32   ,5.61
202510  ,-0.26  ,-0.83   ,0.71   ,3.55   ,0.33   ,3.58
